Company Name,Industry,Symbol,Series,ISIN Code
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011
Aditya Birla Lifestyle Brands Ltd.,Consumer Services,ABLBL,BE,INE14LE01019
Aditya Vision Ltd.,Consumer Services,AVL,EQ,INE679V01027
Arvind Fashions Ltd.,Consumer Services,ARVINDFASN,EQ,INE955V01021
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011
Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY,EQ,INE02RE01045
Cartrade Tech Ltd.,Consumer Services,CARTRADE,EQ,INE290S01011
Crizac Ltd.,Consumer Services,CRIZAC,EQ,INE0S4R01014
Electronics Mart India Ltd.,Consumer Services,EMIL,EQ,INE02YR01019
Entero Healthcare Solutions Ltd.,Consumer Services,ENTERO,EQ,INE010601016
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032
Justdial Ltd.,Consumer Services,JUSTDIAL,EQ,INE599M01018
Lenskart Solutions Ltd.,Consumer Services,LENSKART,EQ,INE956O01016
Medplus Health Services Ltd.,Consumer Services,MEDPLUS,EQ,INE804L01022
Meesho Ltd.,Consumer Services,MEESHO,EQ,INE0VDM01015
RattanIndia Enterprises Ltd.,Consumer Services,RTNINDIA,EQ,INE834M01019
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
Urban Company Ltd.,Consumer Services,URBANCO,EQ,INE0CAZ01013
V-Mart Retail Ltd.,Consumer Services,VMART,EQ,INE665J01013
V2 Retail Ltd.,Consumer Services,V2RETAIL,EQ,INE945H01021
Vedant Fashions Ltd.,Consumer Services,MANYAVAR,EQ,INE825V01034
Vishal Mega Mart Ltd.,Consumer Services,VMM,EQ,INE01EA01019
