Company Name,Industry,Symbol,Series,ISIN Code
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019
Dr. Agarwal's Health Care Ltd.,Healthcare,AGARWALEYE,EQ,INE943P01029
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
Global Health Ltd.,Healthcare,MEDANTA,EQ,INE474Q01031
Healthcare Global Enterprises Ltd.,Healthcare,HCG,EQ,INE075I01017
Jupiter Life Line Hospitals Ltd.,Healthcare,JLHL,EQ,INE682M01012
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS,EQ,INE967H01025
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011
Park Medi World Ltd.,Healthcare,PARKHOSPS,EQ,INE119201023
Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW,EQ,INE961O01016
Yatharth Hospital & Trauma Care Services Ltd.,Healthcare,YATHARTH,EQ,INE0JO301016
