Company Name,Industry,Symbol,Series,ISIN Code
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011
Aditya Birla Lifestyle Brands Ltd.,Consumer Services,ABLBL,BE,INE14LE01019
Aditya Vision Ltd.,Consumer Services,AVL,EQ,INE679V01027
Arvind Fashions Ltd.,Consumer Services,ARVINDFASN,EQ,INE955V01021
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY,EQ,INE02RE01045
Cartrade Tech Ltd.,Consumer Services,CARTRADE,EQ,INE290S01011
Chalet Hotels Ltd.,Consumer Services,CHALET,EQ,INE427F01016
Crizac Ltd.,Consumer Services,CRIZAC,EQ,INE0S4R01014
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023
EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023
Electronics Mart India Ltd.,Consumer Services,EMIL,EQ,INE02YR01019
Entero Healthcare Solutions Ltd.,Consumer Services,ENTERO,EQ,INE010601016
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029
ITC Hotels Ltd.,Consumer Services,ITCHOTELS,EQ,INE379A01028
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032
Jeena Sikho Lifecare Ltd.,Consumer Services,JSLL,EQ,INE0J5801029
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020
Justdial Ltd.,Consumer Services,JUSTDIAL,EQ,INE599M01018
Le Travenues Technology Ltd.,Consumer Services,IXIGO,EQ,INE0HV901016
Leela Palaces Hotels & Resorts Ltd.,Consumer Services,THELEELA,EQ,INE0AQ201015
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE,EQ,INE970X01018
Lenskart Solutions Ltd.,Consumer Services,LENSKART,EQ,INE956O01016
Medplus Health Services Ltd.,Consumer Services,MEDPLUS,EQ,INE804L01022
Meesho Ltd.,Consumer Services,MEESHO,EQ,INE0VDM01015
Physicswallah Ltd.,Consumer Services,PWL,EQ,INE0LP301011
RattanIndia Enterprises Ltd.,Consumer Services,RTNINDIA,EQ,INE834M01019
Restaurant Brands Asia Ltd.,Consumer Services,RBA,EQ,INE07T201019
Samhi Hotels Ltd.,Consumer Services,SAMHI,EQ,INE08U801020
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,EQ,INE806T01020
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014
TBO Tek Ltd.,Consumer Services,TBOTEK,EQ,INE673O01025
Thomas Cook (India) Ltd.,Consumer Services,THOMASCOOK,EQ,INE332A01027
Travel Food Services Ltd.,Consumer Services,TRAVELFOOD,EQ,INE103V01028
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
Urban Company Ltd.,Consumer Services,URBANCO,EQ,INE0CAZ01013
V-Mart Retail Ltd.,Consumer Services,VMART,EQ,INE665J01013
V2 Retail Ltd.,Consumer Services,V2RETAIL,EQ,INE945H01021
Vedant Fashions Ltd.,Consumer Services,MANYAVAR,EQ,INE825V01034
Vishal Mega Mart Ltd.,Consumer Services,VMM,EQ,INE01EA01019
Westlife Foodworld Ltd.,Consumer Services,WESTLIFE,EQ,INE274F01020
