Company Name,Industry,Symbol,Series,ISIN Code
Aditya Birla Real Estate Ltd.,Realty,ABREL,EQ,INE055A01016
Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019
Brookfield India Real Estate Trust,Realty,BIRET,RR,INE0FDU25010
DLF Ltd.,Realty,DLF,EQ,INE271C01023
EMBASSY OFFICE PARKS REIT,Realty,EMBASSY,RR,INE041025011
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
Knowledge Realty Trust,Realty,KRT,RR,INE1JAR25012
Lodha Developers Ltd.,Realty,LODHA,EQ,INE670K01029
MINDSPACE BUSINESS PARKS REIT,Realty,MINDSPACE,RR,INE0CCU25019
Nexus Select Trust,Realty,NXST,RR,INE0NDH25011
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011
Sobha Ltd.,Realty,SOBHA,EQ,INE671H01015
