Company Name,Industry,Symbol,Series,ISIN Code
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01021
AvenuesAI Ltd.,Financial Services,CCAVENUE,EQ,INE483S01020
Billionbrains Garage Ventures Ltd.,Financial Services,GROWW,EQ,INE0HOQ01053
Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY,EQ,INE02RE01045
Cartrade Tech Ltd.,Consumer Services,CARTRADE,EQ,INE290S01011
Crizac Ltd.,Consumer Services,CRIZAC,EQ,INE0S4R01014
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029
IIFL Capital Services Ltd.,Financial Services,IIFLCAPS,EQ,INE489L01022
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032
Justdial Ltd.,Consumer Services,JUSTDIAL,EQ,INE599M01018
Le Travenues Technology Ltd.,Consumer Services,IXIGO,EQ,INE0HV901016
Meesho Ltd.,Consumer Services,MEESHO,EQ,INE0VDM01015
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027
Nazara Technologies Ltd.,Media Entertainment & Publication,NAZARA,EQ,INE418L01047
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026
Physicswallah Ltd.,Consumer Services,PWL,EQ,INE0LP301011
Pine Labs Ltd.,Financial Services,PINELABS,EQ,INE15B701018
RattanIndia Enterprises Ltd.,Consumer Services,RTNINDIA,EQ,INE834M01019
Seshaasai Technologies Ltd.,Financial Services,STYL,EQ,INE04VU01023
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014
TBO Tek Ltd.,Consumer Services,TBOTEK,EQ,INE673O01025
Thomas Cook (India) Ltd.,Consumer Services,THOMASCOOK,EQ,INE332A01027
Urban Company Ltd.,Consumer Services,URBANCO,EQ,INE0CAZ01013
